time,motor,target_rad_s,speed_rad_s,commanded_torque_nm,closure_error_m
0.010000000000000002,p0_m0,8,7.966804219457046,9.95882074526664e-05,8.790927937034746e-09
0.010000000000000002,p0_m1,0,-2.4450119908609925e-05,0.0,8.790927937034746e-09
0.010000000000000002,p0_m2,0,-2.445015536761093e-05,0.0,8.790927937034746e-09
0.010000000000000002,p0_m3,0,2.974517504313923e-05,0.0,8.790927937034746e-09
0.010000000000000002,p1_m0,0,1.171869704927887e-06,0.0,8.790927937034746e-09
0.010000000000000002,p1_m1,0,-1.7018294854510657e-06,0.0,8.790927937034746e-09
0.010000000000000002,p1_m2,0,-1.701873994909203e-06,0.0,8.790927937034746e-09
0.010000000000000002,p1_m3,0,8.544393420430565e-06,0.0,8.790927937034746e-09
0.010000000000000002,p2_m0,0,2.1208866178064503e-05,0.0,8.790927937034746e-09
0.010000000000000002,p2_m1,0,-2.5274536114207175e-05,0.0,8.790927937034746e-09
0.010000000000000002,p2_m2,0,-2.527460547788209e-05,0.0,8.790927937034746e-09
0.010000000000000002,p2_m3,0,2.6025945931087422e-05,0.0,8.790927937034746e-09
0.010000000000000002,p3_m0,0,-6.341926841607396e-06,0.0,8.790927937034746e-09
0.010000000000000002,p3_m1,0,2.8940922371522565e-05,0.0,8.790927937034746e-09
0.010000000000000002,p3_m2,0,2.89410487217769e-05,0.0,8.790927937034746e-09
0.010000000000000002,p3_m3,0,-2.4916276323222245e-05,0.0,8.790927937034746e-09
0.02000000000000001,p0_m0,8,7.966804503612464,9.958655143466367e-05,2.9737284109053777e-09
0.02000000000000001,p0_m1,0,-1.890093586207537e-05,0.0,2.9737284109053777e-09
0.02000000000000001,p0_m2,0,-1.8900957385814312e-05,0.0,2.9737284109053777e-09
0.02000000000000001,p0_m3,0,2.189875548879128e-05,0.0,2.9737284109053777e-09
0.02000000000000001,p1_m0,0,-6.295058367402184e-06,0.0,2.9737284109053777e-09
0.02000000000000001,p1_m1,0,3.533988088513517e-06,0.0,2.9737284109053777e-09
0.02000000000000001,p1_m2,0,3.5339589556091914e-06,0.0,2.9737284109053777e-09
0.02000000000000001,p1_m3,0,9.985119812210296e-07,0.0,2.9737284109053777e-09
0.02000000000000001,p2_m0,0,1.3254236862997536e-05,0.0,2.9737284109053777e-09
0.02000000000000001,p2_m1,0,-1.9223937095327777e-05,0.0,2.9737284109053777e-09
0.02000000000000001,p2_m2,0,-1.9223988181954036e-05,0.0,2.9737284109053777e-09
0.02000000000000001,p2_m3,0,1.7654287735334058e-05,0.0,2.9737284109053777e-09
0.02000000000000001,p3_m0,0,8.690821177879089e-07,0.0,2.9737284109053777e-09
0.02000000000000001,p3_m1,0,1.8568682165168495e-05,0.0,2.9737284109053777e-09
0.02000000000000001,p3_m2,0,1.856878844472304e-05,0.0,2.9737284109053777e-09
0.02000000000000001,p3_m3,0,-1.6749419922977628e-05,0.0,2.9737284109053777e-09
0.03000000000000002,p0_m0,8,7.9692613686998595,9.24785815296092e-05,1.8452429051107768e-05
0.03000000000000002,p0_m1,0,-0.04046488524009379,0.0,1.8452429051107768e-05
0.03000000000000002,p0_m2,0,-0.04046486313045575,0.0,1.8452429051107768e-05
0.03000000000000002,p0_m3,0,0.010441459987648567,0.0,1.8452429051107768e-05
0.03000000000000002,p1_m0,0,-0.11924208763163724,0.0,1.8452429051107768e-05
0.03000000000000002,p1_m1,0,0.0999857787683218,0.0,1.8452429051107768e-05
0.03000000000000002,p1_m2,0,0.09998588892010353,0.0,1.8452429051107768e-05
0.03000000000000002,p1_m3,0,-0.09703648171528653,0.0,1.8452429051107768e-05
0.03000000000000002,p2_m0,0,-0.027465237407900363,0.0,1.8452429051107768e-05
0.03000000000000002,p2_m1,0,-0.03578305189518486,0.0,1.8452429051107768e-05
0.03000000000000002,p2_m2,0,-0.03578332296818615,0.0,1.8452429051107768e-05
0.03000000000000002,p2_m3,0,1.1487134314116216,0.0,1.8452429051107768e-05
0.03000000000000002,p3_m0,0,0.1377869684380918,0.0,1.8452429051107768e-05
0.03000000000000002,p3_m1,0,-0.08905719741272096,0.0,1.8452429051107768e-05
0.03000000000000002,p3_m2,0,-0.08905697726535419,0.0,1.8452429051107768e-05
0.03000000000000002,p3_m3,0,0.05742841219918245,0.0,1.8452429051107768e-05
0.04000000000000003,p0_m0,8,7.969652015358086,9.109040828306192e-05,2.386147546953436e-05
0.04000000000000003,p0_m1,0,-0.08023950027276293,0.0,2.386147546953436e-05
0.04000000000000003,p0_m2,0,-0.08023949366455518,0.0,2.386147546953436e-05
0.04000000000000003,p0_m3,0,0.034115409374936755,0.0,2.386147546953436e-05
0.04000000000000003,p1_m0,0,-0.18286127211151385,0.0,2.386147546953436e-05
0.04000000000000003,p1_m1,0,0.15729887796003109,0.0,2.386147546953436e-05
0.04000000000000003,p1_m2,0,0.15729903585407287,0.0,2.386147546953436e-05
0.04000000000000003,p1_m3,0,-0.14674507695500422,0.0,2.386147546953436e-05
0.04000000000000003,p2_m0,0,-0.030967362869626106,0.0,2.386147546953436e-05
0.04000000000000003,p2_m1,0,-0.07002067874456579,0.0,2.386147546953436e-05
0.04000000000000003,p2_m2,0,-0.07002116650163193,0.0,2.386147546953436e-05
0.04000000000000003,p2_m3,0,2.6065045841351377,0.0,2.386147546953436e-05
0.04000000000000003,p3_m0,0,0.21288021744350685,0.0,2.386147546953436e-05
0.04000000000000003,p3_m1,0,-0.1265968095189649,0.0,2.386147546953436e-05
0.04000000000000003,p3_m2,0,-0.12659640273818668,0.0,2.386147546953436e-05
0.04000000000000003,p3_m3,0,0.07779534250077355,0.0,2.386147546953436e-05
0.05000000000000004,p0_m0,8,7.9714374026292285,8.516845474954415e-05,2.1502057911446555e-05
0.05000000000000004,p0_m1,0,-0.13209923476821628,0.0,2.1502057911446555e-05
0.05000000000000004,p0_m2,0,-0.13209927780793762,0.0,2.1502057911446555e-05
0.05000000000000004,p0_m3,0,0.0831033585828572,0.0,2.1502057911446555e-05
0.05000000000000004,p1_m0,0,-0.2197600015359085,0.0,2.1502057911446555e-05
0.05000000000000004,p1_m1,0,0.1906700100794288,0.0,2.1502057911446555e-05
0.05000000000000004,p1_m2,0,0.19067014596267098,0.0,2.1502057911446555e-05
0.05000000000000004,p1_m3,0,-0.16661935591500376,0.0,2.1502057911446555e-05
0.05000000000000004,p2_m0,0,-0.00795653268062835,0.0,2.1502057911446555e-05
0.05000000000000004,p2_m1,0,-0.12076406201316102,0.0,2.1502057911446555e-05
0.05000000000000004,p2_m2,0,-0.1207647549978483,0.0,2.1502057911446555e-05
0.05000000000000004,p2_m3,0,1.83654042018245,0.0,2.1502057911446555e-05
0.05000000000000004,p3_m0,0,0.24898916706966778,0.0,2.1502057911446555e-05
0.05000000000000004,p3_m1,0,-0.11396210667933877,0.0,2.1502057911446555e-05
0.05000000000000004,p3_m2,0,-0.1139614414757262,0.0,2.1502057911446555e-05
0.05000000000000004,p3_m3,0,1.2656396383072697,0.0,2.1502057911446555e-05
0.060000000000000046,p0_m0,8,7.970307791458365,8.885508152265054e-05,1.7674428388979513e-05
0.060000000000000046,p0_m1,0,-0.16816140890594808,0.0,1.7674428388979513e-05
0.060000000000000046,p0_m2,0,-0.16816149156014806,0.0,1.7674428388979513e-05
0.060000000000000046,p0_m3,0,0.1168607357452205,0.0,1.7674428388979513e-05
0.060000000000000046,p1_m0,0,-0.24335829231276065,0.0,1.7674428388979513e-05
0.060000000000000046,p1_m1,0,0.21427162260761473,0.0,1.7674428388979513e-05
0.060000000000000046,p1_m2,0,0.21427174993036896,0.0,1.7674428388979513e-05
0.060000000000000046,p1_m3,0,-0.17996533527118053,0.0,1.7674428388979513e-05
0.060000000000000046,p2_m0,0,0.008755957030374578,0.0,1.7674428388979513e-05
0.060000000000000046,p2_m1,0,-0.15614716799366293,0.0,1.7674428388979513e-05
0.060000000000000046,p2_m2,0,-0.15614800751177907,0.0,1.7674428388979513e-05
0.060000000000000046,p2_m3,0,0.8757845636197983,0.0,1.7674428388979513e-05
0.060000000000000046,p3_m0,0,0.27547146093354985,0.0,1.7674428388979513e-05
0.060000000000000046,p3_m1,0,-0.10784000319353064,0.0,1.7674428388979513e-05
0.060000000000000046,p3_m2,0,-0.10783916713166608,0.0,1.7674428388979513e-05
0.060000000000000046,p3_m3,0,0.7979054263595706,0.0,1.7674428388979513e-05
0.07000000000000005,p0_m0,8,7.969833493899913,9.035322450180061e-05,1.446843165347342e-05
0.07000000000000005,p0_m1,0,-0.1965208991275325,0.0,1.446843165347342e-05
0.07000000000000005,p0_m2,0,-0.19652101902555918,0.0,1.446843165347342e-05
0.07000000000000005,p0_m3,0,0.14383401603758703,0.0,1.446843165347342e-05
0.07000000000000005,p1_m0,0,-0.2597855013033312,0.0,1.446843165347342e-05
0.07000000000000005,p1_m1,0,0.23246932158955844,0.0,1.446843165347342e-05
0.07000000000000005,p1_m2,0,0.2324694452239201,0.0,1.446843165347342e-05
0.07000000000000005,p1_m3,0,-0.18928920388583625,0.0,1.446843165347342e-05
0.07000000000000005,p2_m0,0,0.02325783402364083,0.0,1.446843165347342e-05
0.07000000000000005,p2_m1,0,-0.18421245387520238,0.0,1.446843165347342e-05
0.07000000000000005,p2_m2,0,-0.18421340640122616,0.0,1.446843165347342e-05
0.07000000000000005,p2_m3,0,-0.3224809429576682,0.0,1.446843165347342e-05
0.07000000000000005,p3_m0,0,0.2959512563893088,0.0,1.446843165347342e-05
0.07000000000000005,p3_m1,0,-0.10342129126238693,0.0,1.446843165347342e-05
0.07000000000000005,p3_m2,0,-0.10342032627946293,0.0,1.446843165347342e-05
0.07000000000000005,p3_m3,0,-0.5032222034014932,0.0,1.446843165347342e-05
0.08000000000000006,p0_m0,8,7.958400779393035,0.00012722537078007612,6.967304780525042e-05
0.08000000000000006,p0_m1,0,0.025445153155602803,0.0,6.967304780525042e-05
0.08000000000000006,p0_m2,0,3.264754467547729,0.0,6.967304780525042e-05
0.08000000000000006,p0_m3,0,0.38877955779112344,0.0,6.967304780525042e-05
0.08000000000000006,p1_m0,0,-3.063187478721762,0.0,6.967304780525042e-05
0.08000000000000006,p1_m1,0,0.11746704628673278,0.0,6.967304780525042e-05
0.08000000000000006,p1_m2,0,0.11746777597506824,0.0,6.967304780525042e-05
0.08000000000000006,p1_m3,0,-0.2460981391319289,0.0,6.967304780525042e-05
0.08000000000000006,p2_m0,0,-0.20002424991646073,0.0,6.967304780525042e-05
0.08000000000000006,p2_m1,0,0.021978169686930768,0.0,6.967304780525042e-05
0.08000000000000006,p2_m2,0,0.0219779509180423,0.0,6.967304780525042e-05
0.08000000000000006,p2_m3,0,-1.1039300134064693,0.0,6.967304780525042e-05
0.08000000000000006,p3_m0,0,0.2540853530153791,0.0,6.967304780525042e-05
0.08000000000000006,p3_m1,0,-0.014361325461763528,0.0,6.967304780525042e-05
0.08000000000000006,p3_m2,0,-0.014359646187106572,0.0,6.967304780525042e-05
0.08000000000000006,p3_m3,0,-0.6170970632288478,0.0,6.967304780525042e-05
0.09000000000000007,p0_m0,8,7.964805731162541,0.00010742786233760527,9.176865320271726e-05
0.09000000000000007,p0_m1,0,0.16571357560745775,0.0,9.176865320271726e-05
0.09000000000000007,p0_m2,0,3.959110040416218,0.0,9.176865320271726e-05
0.09000000000000007,p0_m3,0,-0.47255246380723515,0.0,9.176865320271726e-05
0.09000000000000007,p1_m0,0,-5.153293049146224,0.0,9.176865320271726e-05
0.09000000000000007,p1_m1,0,0.07665872911456438,0.0,9.176865320271726e-05
0.09000000000000007,p1_m2,0,0.07665999322156065,0.0,9.176865320271726e-05
0.09000000000000007,p1_m3,0,-0.3167618671926331,0.0,9.176865320271726e-05
0.09000000000000007,p2_m0,0,-0.36433452803772476,0.0,9.176865320271726e-05
0.09000000000000007,p2_m1,0,0.1629526238068072,0.0,9.176865320271726e-05
0.09000000000000007,p2_m2,0,0.16295272578106335,0.0,9.176865320271726e-05
0.09000000000000007,p2_m3,0,0.9980598925341544,0.0,9.176865320271726e-05
0.09000000000000007,p3_m0,0,0.26965125655012984,0.0,9.176865320271726e-05
0.09000000000000007,p3_m1,0,-0.02830680863971101,0.0,9.176865320271726e-05
0.09000000000000007,p3_m2,0,-0.028304829532276185,0.0,9.176865320271726e-05
0.09000000000000007,p3_m3,0,-0.6400921622631257,0.0,9.176865320271726e-05
0.10000000000000007,p0_m0,8,7.9678122199979065,9.68372461089464e-05,9.517339562651917e-05
0.10000000000000007,p0_m1,0,0.21230391546813823,0.0,9.517339562651917e-05
0.10000000000000007,p0_m2,0,3.911144686084636,0.0,9.517339562651917e-05
0.10000000000000007,p0_m3,0,-0.5442726556728182,0.0,9.517339562651917e-05
0.10000000000000007,p1_m0,0,-5.825269525586835,0.0,9.517339562651917e-05
0.10000000000000007,p1_m1,0,0.054058268004452445,0.0,9.517339562651917e-05
0.10000000000000007,p1_m2,0,0.05405980016067531,0.0,9.517339562651917e-05
0.10000000000000007,p1_m3,0,-0.3462647015763326,0.0,9.517339562651917e-05
0.10000000000000007,p2_m0,0,-0.42419985628311235,0.0,9.517339562651917e-05
0.10000000000000007,p2_m1,0,0.19883054991832685,0.0,9.517339562651917e-05
0.10000000000000007,p2_m2,0,0.19883064901861644,0.0,9.517339562651917e-05
0.10000000000000007,p2_m3,0,2.6571623266752074,0.0,9.517339562651917e-05
0.10000000000000007,p3_m0,0,0.28489440936897,0.0,9.517339562651917e-05
0.10000000000000007,p3_m1,0,-0.02169958944268595,0.0,9.517339562651917e-05
0.10000000000000007,p3_m2,0,-0.02169734623072872,0.0,9.517339562651917e-05
0.10000000000000007,p3_m3,0,-0.6545201331654761,0.0,9.517339562651917e-05
0.11000000000000008,p0_m0,8,4.6256026039910125,0.008018743262947835,9.031862349627719e-05
0.11000000000000008,p0_m1,0,0.2062550961159165,0.0,9.031862349627719e-05
0.11000000000000008,p0_m2,0,3.7350640150316323,0.0,9.031862349627719e-05
0.11000000000000008,p0_m3,0,-1.5360980489292513,0.0,9.031862349627719e-05
0.11000000000000008,p1_m0,0,-5.146723155592271,0.0,9.031862349627719e-05
0.11000000000000008,p1_m1,0,0.08198583465145746,0.0,9.031862349627719e-05
0.11000000000000008,p1_m2,0,0.08198770695613086,0.0,9.031862349627719e-05
0.11000000000000008,p1_m3,0,-0.40780864162912506,0.0,9.031862349627719e-05
0.11000000000000008,p2_m0,0,-0.49104917083688354,0.0,9.031862349627719e-05
0.11000000000000008,p2_m1,0,0.235673121809221,0.0,9.031862349627719e-05
0.11000000000000008,p2_m2,0,0.23567305770444885,0.0,9.031862349627719e-05
0.11000000000000008,p2_m3,0,1.9587359840601586,0.0,9.031862349627719e-05
0.11000000000000008,p3_m0,0,0.6599945370265192,0.0,9.031862349627719e-05
0.11000000000000008,p3_m1,0,-2.5279714044021264,0.0,9.031862349627719e-05
0.11000000000000008,p3_m2,0,-0.025623315291020483,0.0,9.031862349627719e-05
0.11000000000000008,p3_m3,0,-0.668306170157973,0.0,9.031862349627719e-05
0.12000000000000009,p0_m0,8,5.827925491142332,0.004533418174687356,2.4133756714985394e-06
0.12000000000000009,p0_m1,0,-0.03393556856331936,0.0,2.4133756714985394e-06
0.12000000000000009,p0_m2,0,2.4552187152662928,0.0,2.4133756714985394e-06
0.12000000000000009,p0_m3,0,-1.1320635159408454,0.0,2.4133756714985394e-06
0.12000000000000009,p1_m0,0,-3.7378956272706603,0.0,2.4133756714985394e-06
0.12000000000000009,p1_m1,0,1.1678645895616195,0.0,2.4133756714985394e-06
0.12000000000000009,p1_m2,0,1.2727730893045162,0.0,2.4133756714985394e-06
0.12000000000000009,p1_m3,0,-0.16613980969453365,0.0,2.4133756714985394e-06
0.12000000000000009,p2_m0,0,-0.26986115366533053,0.0,2.4133756714985394e-06
0.12000000000000009,p2_m1,0,0.41671012121692785,0.0,2.4133756714985394e-06
0.12000000000000009,p2_m2,0,0.173762251020478,0.0,2.4133756714985394e-06
0.12000000000000009,p2_m3,0,1.62414459976849,0.0,2.4133756714985394e-06
0.12000000000000009,p3_m0,0,0.830777501456473,0.0,2.4133756714985394e-06
0.12000000000000009,p3_m1,0,-3.64426035538735,0.0,2.4133756714985394e-06
0.12000000000000009,p3_m2,0,-1.1917485250058273,0.0,2.4133756714985394e-06
0.12000000000000009,p3_m3,0,-0.7400581324935918,0.0,2.4133756714985394e-06
0.1300000000000001,p0_m0,8,3.0643839985553356,0.01461366803393179,8.283015034916028e-05
0.1300000000000001,p0_m1,0,-0.05919335830557273,0.0,8.283015034916028e-05
0.1300000000000001,p0_m2,0,0.844183381928247,0.0,8.283015034916028e-05
